FX,RMSE,MAE,MAPE
GBP=X,0.025938925579963613,0.023969760647526494,3.101052362878485
AUD=X,0.027160475906732408,0.022246245984677906,1.5109711810434798
CAD=X,0.02861952083432395,0.027530418501959905,2.085466644591037
CHF=X,0.035770206548892985,0.032603308006569194,3.754968463597011
CNY=X,0.10229101854455477,0.09060887937192563,1.2573684784185932
SGD=X,0.0156115548645507,0.012925770547654893,0.9731712314883302
JPY=X,4.191718649737919,3.497526380750868,2.453199875487136
EUR=X,0.018733509077187613,0.016895380285051134,1.8772213863357095
INR=X,0.7310665117446827,0.6534881591796875,0.7943185444770959
HKD=X,0.021201370709377252,0.018503365693268985,0.23677034526504692
